"Dataset"	"Disease"	"Tissue"	"Sample"	"Replicate"	"ORF1p"	"ORF2p"	"ORF0"	"ORF1p_variants"	"ORF2p_variants"	"HERV_proteins"	"PTMs"	"Study"	"spectralSize"	"diseaseState"
"20"	"PXD000944"	"breast cancer"	"breast cell line"	19	1	0	0	0	"0"	"ORF2p_PA2_7_(52.505)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"21"	"PXD000944"	"breast cancer"	"breast cell line"	20	1	0	0	0	"ORF1p_PA2_7_(3.342),ORF1p_PA2_22_(3.342)"	"ORF2p_HS_9_(4.266),ORF2p_HS_1_(3.342),ORF2p_PA2_27_(3.342),ORF2p_HS_100_(3.342),ORF2p_PA2_6_(3.342),ORF2p_HS_15_(3.342)"	"Q9N2J8_(3.342)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"22"	"PXD000944"	"breast cancer"	"breast cell line"	21	1	0	0	0	"ORF1p_HS_12_(3.492),ORF1p_HS_24_(3.492),ORF1p_HS_100_(3.492)"	"ORF2p_PA3_1_(3.492),ORF2p_HS_82_(3.492),ORF2p_PA2_26_(3.492),ORF2p_HS_45_(3.492),ORF2p_PA2_27_(3.492),ORF2p_HS_43_(3.492),ORF2p_PA2_12_(3.492),ORF2p_HS_100_(3.492),ORF2p_PA2_28_(3.492),ORF2p_HS_42_(3.492),ORF2p_HS_32_(3.492),ORF2p_HS_7_(3.492),ORF2p_PA2_32_(3.492)"	"c(P62684_(5.541), P63132_(3.492))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"23"	"PXD000944"	"breast cancer"	"breast cell line"	22	1	0	0	0	"ORF1p_PA2_28_(2.958),ORF1p_HOT_4_(2.958),ORF1p_HS_100_(2.958)"	"ORF2p_HS_18_(23.992),ORF2p_PA2_35_(2.958),ORF2p_PA2_7_(2.958),ORF2p_HS_43_(2.958),ORF2p_HS_70_(2.958),ORF2p_PA2_12_(2.958),ORF2p_HS_77_(2.958),ORF2p_HS_22_(2.958),ORF2p_HS_72_(2.958),ORF2p_HS_42_(2.958)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"24"	"PXD000944"	"breast cancer"	"breast cell line"	23	1	0	0	0	"0"	"ORF2p_HS_61_(30.612)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"25"	"PXD000944"	"breast cancer"	"breast cell line"	24	1	0	0	0	"0"	"ORF2p_PA3_1_(22.752)"	"C9JL84_(34.73)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"26"	"PXD000944"	"breast cancer"	"breast cell line"	25	1	0	0	0	"0"	"ORF2p_HS_26_(48.92)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"27"	"PXD000944"	"breast cancer"	"breast cell line"	26	1	48.5094850948509	0	0	"0"	"ORF2p_HS_91_(36.111)"	"P63132_(0.835)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"28"	"PXD000944"	"breast cancer"	"breast cell line"	27	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"29"	"PXD000944"	"breast cancer"	"breast cell line"	28	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"30"	"PXD000944"	"breast cancer"	"breast cell line"	29	1	0	0	0	"ORF1p_HS_109_(3.026),ORF1p_HS_15_(3.026),ORF1p_PA2_29_(3.026),ORF1p_HS_57_(3.026)"	"ORF2p_HS_9_(71.429),ORF2p_HS_53_(3.026),ORF2p_PA3_1_(3.026),ORF2p_HS_28_(3.026),ORF2p_HS_122_(3.026),ORF2p_PA2_27_(3.026),ORF2p_PA2_19_(3.026),ORF2p_HS_18_(3.026),ORF2p_HS_117_(3.026),ORF2p_PA2_14_(3.026),ORF2p_HS_85_(3.026),ORF2p_PA2_12_(3.026),ORF2p_HS_20_(3.026),ORF2p_PA2_34_(3.026),ORF2p_PA2_29_(3.026),ORF2p_HS_78_(3.026),ORF2p_HS_83_(3.026),ORF2p_HS_42_(3.026)"	"H7C523_(3.026)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"31"	"PXD000944"	"breast cancer"	"breast cell line"	30	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"32"	"PXD000944"	"breast cancer"	"breast cell line"	31	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"33"	"PXD000944"	"breast cancer"	"breast cell line"	32	1	0	0	0	"ORF1p_PA2_14_(3.848),ORF1p_HS_62_(3.848),ORF1p_HS_53_(3.848)"	"ORF2p_PA2_35_(3.848),ORF2p_HS_120_(3.848),ORF2p_HS_45_(3.848),ORF2p_PA2_16_(3.848),ORF2p_PA2_31_(3.848),ORF2p_HS_36_(3.848),ORF2p_HS_117_(3.848),ORF2p_HS_70_(3.848),ORF2p_HS_39_(3.848),ORF2p_PA2_3_(3.848),ORF2p_PA2_28_(3.848),ORF2p_PA2_29_(3.848),ORF2p_HS_108_(3.848)"	"c(Q9N2J8_(3.848), C9JL84_(3.848))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"34"	"PXD000944"	"breast cancer"	"breast cell line"	33	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"35"	"PXD000944"	"breast cancer"	"breast cell line"	34	1	0	0	0	"0"	"ORF2p_HS_111_(14.286)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"36"	"PXD000944"	"breast cancer"	"breast cell line"	35	1	0	0	0	"0"	"ORF2p_HS_77_(28.149)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"37"	"PXD000944"	"breast cancer"	"breast cell line"	36	1	0	0	0	"0"	"ORF2p_HS_39_(49.632),ORF2p_PA2_27_(13.615),ORF2p_PA2_15_(4.128)"	"c(C9J7D0_(4.128), Q9N2K0_(3.233))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"38"	"PXD000944"	"breast cancer"	"breast cell line"	37	1	3.92394822006472	0	0	"ORF1p_PA2_3_(57.929),ORF1p_PA2_19_(1.128)"	"ORF2p_HS_67_(59.145),ORF2p_HOT_2_(4.043),ORF2p_HS_78_(3.819),ORF2p_HS_1_(1.128),ORF2p_PA2_28_(1.128),ORF2p_HS_42_(1.128),ORF2p_HS_76_(1.128)"	"c(P62684_(52.931), Q9N2K0_(17.47), Q9XRX5_(1.128), C9JL84_(1.128), P63132_(1.128))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"39"	"PXD000944"	"breast cancer"	"breast cell line"	38	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"40"	"PXD000944"	"breast cancer"	"breast cell line"	39	1	0	0	0	"ORF1p_HS_14_(6.915),ORF1p_HS_106_(6.915),ORF1p_HS_55_(6.915),ORF1p_HS_84_(6.38)"	"ORF2p_PA2_34_(45.824),ORF2p_HS_73_(6.915),ORF2p_HS_3_(6.915),ORF2p_HS_38_(6.915)"	"P62684_(6.915)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"41"	"PXD000944"	"breast cancer"	"breast cell line"	40	1	0	0	0	"ORF1p_PA2_22_(0.871),ORF1p_HS_102_(0.871),ORF1p_PA2_3_(0.871)"	"ORF2p_HS_16_(0.871),ORF2p_HS_58_(0.871),ORF2p_HS_36_(0.871),ORF2p_PA2_23_(0.871),ORF2p_HS_78_(0.871),ORF2p_PA2_6_(0.871),ORF2p_HS_42_(0.871)"	"Q9N2K0_(0.871)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"42"	"PXD000944"	"breast cancer"	"breast cell line"	41	1	0	0	0	"ORF1p_PA2_6_(4.944),ORF1p_PA2_15_(4.944),ORF1p_PA2_11_(4.944),ORF1p_HS_74_(4.944),ORF1p_HS_57_(4.944)"	"ORF2p_HS_9_(5.6),ORF2p_HS_53_(4.944),ORF2p_PA2_15_(4.944),ORF2p_HS_10_(4.944),ORF2p_HS_101_(4.944),ORF2p_HS_40_(4.944),ORF2p_PA2_26_(4.944),ORF2p_HS_116_(4.944),ORF2p_HS_18_(4.944),ORF2p_HS_36_(4.944),ORF2p_HS_109_(4.944),ORF2p_PA2_4_(4.944),ORF2p_PA2_16_(4.944),ORF2p_HS_100_(4.944),ORF2p_HS_20_(4.944),ORF2p_PA2_16_(4.944),ORF2p_HS_77_(4.944),ORF2p_PA2_28_(4.944),ORF2p_HS_12_(4.944),ORF2p_PA2_23_(4.944)"	"C9JY47_(4.944)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"43"	"PXD000944"	"breast cancer"	"breast cell line"	42	1	0	0	0	"ORF1p_PA3_1_(1.41),ORF1p_PA2_35_(1.41)"	"ORF2p_PA2_4_(3.698),ORF2p_PA2_9_(1.41),ORF2p_PA2_15_(1.41),ORF2p_HS_101_(1.41),ORF2p_HS_120_(1.41),ORF2p_HS_45_(1.41),ORF2p_PA2_16_(1.41),ORF2p_PA2_31_(1.41),ORF2p_PA2_19_(1.41),ORF2p_HS_36_(1.41),ORF2p_HS_42_(1.41),ORF2p_PA2_32_(1.41)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"44"	"PXD000944"	"breast cancer"	"breast cell line"	43	1	0	0	0	"ORF1p_PA2_16_(33.641),ORF1p_PA2_18_(31.729),ORF1p_HS_20_(5.506),ORF1p_HS_15_(4.489)"	"ORF2p_HS_61_(8.362),ORF2p_PA2_15_(5.506),ORF2p_PA2_26_(4.287)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"45"	"PXD000944"	"breast cancer"	"breast cell line"	44	1	0	0	0	"0"	"ORF2p_HS_111_(56.9),ORF2p_PA2_14_(8.365)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"46"	"PXD000944"	"breast cancer"	"breast cell line"	45	1	0	0	0	"0"	"ORF2p_PA2_29_(4.062),ORF2p_HS_54_(4.048)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"47"	"PXD000944"	"breast cancer"	"breast cell line"	46	1	56.9311246730602	0	0	"0"	"ORF2p_HS_39_(57.031)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"48"	"PXD000944"	"breast cancer"	"breast cell line"	47	1	0	0	0	"0"	"0"	"C9J7D0_(47.364)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"49"	"PXD000944"	"breast cancer"	"breast cell line"	48	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"50"	"PXD000944"	"breast cancer"	"breast cell line"	49	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"51"	"PXD000944"	"breast cancer"	"breast cell line"	50	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"52"	"PXD000944"	"breast cancer"	"breast cell line"	51	1	0	0	2.92682926829269	"ORF1p_HS_37_(3.837),ORF1p_PA2_31_(2.927)"	"ORF2p_HS_43_(3.837),ORF2p_HS_7_(2.927),ORF2p_HS_10_(2.927),ORF2p_HS_14_(2.927),ORF2p_PA2_26_(2.927),ORF2p_HS_45_(2.927),ORF2p_HS_36_(2.927),ORF2p_PA2_4_(2.927),ORF2p_PA2_16_(2.927),ORF2p_PA2_30_(2.927),ORF2p_HS_106_(2.927),ORF2p_PA2_12_(2.927),ORF2p_PA2_2_(2.927),ORF2p_PA2_34_(2.927),ORF2p_HS_23_(2.927),ORF2p_PA2_28_(2.927),ORF2p_HS_12_(2.927),ORF2p_PA2_32_(2.927)"	"P62684_(3.837)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"53"	"PXD000944"	"breast cancer"	"breast cell line"	52	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"54"	"PXD000944"	"breast cancer"	"breast cell line"	53	1	0	0	0	"ORF1p_PA2_14_(0.994)"	"ORF2p_HS_6_(3.63),ORF2p_PA2_25_(0.994),ORF2p_HS_73_(0.994),ORF2p_HS_45_(0.994),ORF2p_HS_25_(0.994),ORF2p_HS_52_(0.994),ORF2p_PA2_6_(0.994)"	"P63132_(0.994)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"55"	"PXD000944"	"breast cancer"	"breast cell line"	54	1	0	15.633423180593	0	"ORF1p_HS_14_(2.885),ORF1p_HS_9_(2.885),ORF1p_PA2_29_(2.885)"	"ORF2p_HS_56_(2.885),ORF2p_PA2_16_(2.885),ORF2p_PA2_6_(2.885)"	"P63132_(11.233)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"56"	"PXD000944"	"breast cancer"	"breast cell line"	55	1	0	0	0	"0"	"ORF2p_PA2_5_(8.359),ORF2p_PA2_32_(8.359)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"57"	"PXD000944"	"breast cancer"	"breast cell line"	56	1	0	0	0	"0"	"ORF2p_HS_45_(31.39),ORF2p_PA2_14_(10.56)"	"Q9N2K0_(31.39)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"58"	"PXD000944"	"breast cancer"	"breast cell line"	57	1	31.9945541184479	0	0	"ORF1p_HS_101_(10.163),ORF1p_PA2_4_(10.163)"	"ORF2p_HS_39_(46.169),ORF2p_HS_101_(31.995)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"59"	"PXD000944"	"breast cancer"	"breast cell line"	58	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"60"	"PXD000944"	"breast cancer"	"breast cell line"	59	1	0	0	0	"ORF1p_PA2_3_(47.638),ORF1p_HS_100_(6.912),ORF1p_PA2_7_(2.168)"	"ORF2p_PA2_31_(48.335),ORF2p_PA2_29_(6.225),ORF2p_PA3_1_(2.168),ORF2p_HS_58_(2.168),ORF2p_PA2_19_(2.168),ORF2p_HS_85_(2.168),ORF2p_PA2_2_(2.168)"	"c(Q9N2K0_(52.459), P63132_(2.168))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"61"	"PXD000944"	"breast cancer"	"breast cell line"	60	1	0	0	0	"0"	"0"	"Q9N2K0_(14.706)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"62"	"PXD000944"	"breast cancer"	"breast cell line"	61	1	0	45.9090909090909	0	"ORF1p_HS_120_(16.355)"	"ORF2p_PA2_28_(9.132)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"63"	"PXD000944"	"breast cancer"	"breast cell line"	62	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"64"	"PXD000944"	"breast cancer"	"breast cell line"	63	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"65"	"PXD000944"	"breast cancer"	"breast cell line"	64	1	0	0	0	"0"	"ORF2p_PA2_5_(30)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"66"	"PXD000944"	"breast cancer"	"breast cell line"	65	1	0	0	0	"ORF1p_PA2_7_(1.904),ORF1p_HS_82_(1.904)"	"ORF2p_HS_9_(2.816),ORF2p_HS_100_(2.816),ORF2p_HS_78_(2.816),ORF2p_HS_69_(1.904),ORF2p_HS_40_(1.904),ORF2p_PA2_26_(1.904),ORF2p_HS_120_(1.904),ORF2p_HS_45_(1.904),ORF2p_HS_109_(1.904),ORF2p_HS_43_(1.904),ORF2p_HS_106_(1.904),ORF2p_PA2_28_(1.904)"	"P62684_(1.904)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"67"	"PXD000944"	"breast cancer"	"breast cell line"	66	1	0	0	0	"ORF1p_HS_85_(3.387),ORF1p_HS_37_(3.387)"	"ORF2p_HS_53_(3.387),ORF2p_HS_82_(3.387),ORF2p_HS_10_(3.387),ORF2p_HS_6_(3.387),ORF2p_HS_25_(3.387),ORF2p_PA2_5_(3.387),ORF2p_PA2_19_(3.387),ORF2p_HS_9_(3.387),ORF2p_HS_70_(3.387),ORF2p_HS_77_(3.387),ORF2p_HS_21_(3.387),ORF2p_HS_12_(3.387),ORF2p_PA2_23_(3.387),ORF2p_HS_78_(3.387),ORF2p_HS_83_(3.387),ORF2p_PA2_32_(3.387)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"68"	"PXD000944"	"breast cancer"	"breast cell line"	67	1	0	0	0	"ORF1p_HS_15_(2.354),ORF1p_HS_32_(2.354)"	"ORF2p_PA2_14_(4.544),ORF2p_PA2_28_(2.354),ORF2p_HS_120_(2.354),ORF2p_HS_26_(2.354),ORF2p_HS_10_(2.354),ORF2p_PA2_16_(2.354),ORF2p_HS_52_(2.354),ORF2p_PA2_27_(2.354),ORF2p_HS_68_(2.354),ORF2p_PA2_22_(2.354),ORF2p_HS_36_(2.354),ORF2p_HS_77_(2.354),ORF2p_HS_116_(2.354),ORF2p_HS_78_(2.354)"	"P63132_(2.354)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"69"	"PXD000944"	"breast cancer"	"breast cell line"	68	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"70"	"PXD000944"	"breast cancer"	"breast cell line"	69	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"71"	"PXD000944"	"breast cancer"	"breast cell line"	70	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"72"	"PXD000944"	"breast cancer"	"breast cell line"	71	1	0	0	0	"0"	"ORF2p_PA3_1_(19.355)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"73"	"PXD000944"	"breast cancer"	"breast cell line"	72	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"74"	"PXD000944"	"breast cancer"	"breast cell line"	73	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"75"	"PXD000944"	"breast cancer"	"breast cell line"	74	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"76"	"PXD000944"	"breast cancer"	"breast cell line"	75	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"77"	"PXD000944"	"breast cancer"	"breast cell line"	76	1	0	0	0	"0"	"0"	"Q9N2K0_(57.692)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"78"	"PXD000944"	"breast cancer"	"breast cell line"	77	1	0	0	0	"ORF1p_PA2_25_(29.412)"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"79"	"PXD000944"	"breast cancer"	"breast cell line"	78	1	0	0	0	"0"	"ORF2p_PA2_6_(25)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"80"	"PXD000944"	"breast cancer"	"breast cell line"	79	1	0	0	0	"0"	"ORF2p_HS_14_(1.765),ORF2p_PA2_2_(1.765),ORF2p_PA2_10_(1.765),ORF2p_PA2_6_(1.765)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"81"	"PXD000944"	"breast cancer"	"breast cell line"	80	1	0	0	0	"0"	"ORF2p_PA2_25_(2.93),ORF2p_PA3_1_(2.93),ORF2p_HS_14_(2.93),ORF2p_HS_43_(2.93),ORF2p_PA2_6_(2.93)"	"c(P63132_(2.93), Q9N2K0_(2.93))"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"82"	"PXD000944"	"breast cancer"	"breast cell line"	81	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"83"	"PXD000944"	"breast cancer"	"breast cell line"	82	1	0	0	0	"ORF1p_PA2_7_(6.083),ORF1p_PA2_31_(6.083)"	"ORF2p_PA3_1_(6.083),ORF2p_HS_1_(6.083),ORF2p_PA2_18_(6.083),ORF2p_PA2_4_(6.083),ORF2p_HS_105_(6.083),ORF2p_HS_70_(6.083),ORF2p_PA2_23_(6.083)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"84"	"PXD000944"	"breast cancer"	"breast cell line"	83	1	33.3333333333333	0	0	"0"	"ORF2p_HS_39_(30.769)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"85"	"PXD000944"	"breast cancer"	"breast cell line"	84	1	0	0	0	"0"	"ORF2p_HOT_1_(100)"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"86"	"PXD000944"	"breast cancer"	"breast cell line"	85	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"87"	"PXD000944"	"breast cancer"	"breast cell line"	86	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"88"	"PXD000944"	"breast cancer"	"breast cell line"	87	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"89"	"PXD000944"	"breast cancer"	"breast cell line"	88	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"90"	"PXD000944"	"breast cancer"	"breast cell line"	89	1	0	0	0	"ORF1p_HOT_4_(53.125)"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"91"	"PXD000944"	"breast cancer"	"breast cell line"	90	1	0	0	0	"0"	"0"	"P63132_(30.357)"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"92"	"PXD000944"	"breast cancer"	"breast cell line"	91	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"93"	"PXD000944"	"breast cancer"	"breast cell line"	92	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"94"	"PXD000944"	"breast cancer"	"breast cell line"	93	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"95"	"PXD000944"	"breast cancer"	"breast cell line"	94	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"96"	"PXD000944"	"breast cancer"	"breast cell line"	95	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
"97"	"PXD000944"	"breast cancer"	"breast cell line"	96	1	0	0	0	"0"	"0"	"0"	NA	"breast_cancer_or_breast_cancer_cell_line"	5802.325	"disease"
